2M++,2M++,"Cosmicflows-3 Distances","Cosmicflows-3 Distances","Cosmicflows-3 Distances","Cosmicflows-3 Distances"
pgc,Ks,Vcmb,Dist,Nd,RAJ,DeJ
%7s,%5.2f,%5d,%6.2f,%1d,%8s,%9s
---,mag,km/s,Mpc,,hms,damas
"The Catalogue of Principal Galaxies (PGC) Number","Apparent Ks 20 mag/as^2 isophote magnitude adjusted for cosmological surface brightness dimming, extinction, filter redshift response, and stellar evolution, as defined by Lavaux and Hudson","Velocity in Cosmic Microwave Background frame","Luminosity distance (weighted average if more than one source)","Number of distance sources","Right Ascension (J2000)","Declination (J2000)"
2050,11.66,24258,,,,
2051,12.14,18105,,,,
2052,8.53,1251,23.77,2,003415.5,-274813
2053,9.21,1247,,,,
2055,11.23,12392,,,,
2058,10.36,7707,91.20,1,003419.5,-123922
2062,10.51,9175,,,,
2064,11.37,7524,,,,
2069,,,98.63,1,003429.0,+082702
2070,10.30,5719,,,,
2071,12.31,1252,18.03,2,003432.7,-300104
2073,10.99,8147,,,,
2076,10.00,5825,,,,
2077,10.49,5037,,,,
2081,7.66,1351,12.08,1,003446.7,-082347
2085,,,52.97,1,003448.9,+282436
2086,12.01,6533,,,,
2087,12.16,7547,,,,
2088,,,89.13,1,003451.0,+393242
2092,11.39,7667,,,,
2094,,,77.27,1,003456.0,+315655
2096,11.54,16152,,,,
2097,11.38,18824,,,,
2098,,,113.76,1,003506.3,+453145
2100,11.01,6661,,,,
2101,11.57,16340,,,,
2110,11.32,7376,87.10,1,003511.2,-435906
2112,10.86,6927,83.18,1,003513.1,-373329
2115,11.67,7198,,,,
2116,11.46,7735,,,,
2117,12.31,13937,,,,
2121,,,0.73,2,003522.7,+363016
2122,11.30,3526,,,,
2125,10.92,8206,,,,
2127,12.18,12425,,,,
2128,11.78,22823,,,,
2129,12.40,23247,,,,
2130,11.54,5645,,,,
2131,10.11,5686,65.77,1,003533.9,-025055
2133,11.31,4695,55.46,1,003536.1,-044359
2134,9.68,4970,93.33,1,003536.4,+090727
2136,,,74.47,1,003546.6,+241414
2138,10.83,2998,,,,
2139,,,79.07,1,003539.5,+085950
2140,12.07,9441,,,,
2141,11.91,6794,,,,
2143,11.37,5697,,,,
2144,10.50,9999,101.39,1,003550.8,-594138
2145,10.73,11313,,,,
2146,11.96,15953,,,,
2149,9.93,5619,,,,
2151,,,33.42,1,003602.0,-095318
2154,9.67,4920,82.79,1,003604.0,+235729
2157,11.21,4081,,,,
2159,,,116.95,1,003610.0,+212752
2161,10.76,5346,,,,
2163,,,38.37,1,003610.5,+043806
2164,10.70,4081,,,,
2166,11.27,6362,98.63,1,003612.6,-121530
2170,12.19,8690,,,,
2173,10.67,10239,,,,
2174,12.20,19018,,,,
2176,10.60,11819,,,,
2182,10.74,5592,,,,
2190,11.26,8130,,,,
2192,10.88,3644,,,,
2193,12.28,10399,,,,
2194,10.68,8589,125.31,1,003645.5,+213404
2195,11.19,3924,,,,
2199,11.95,6881,71.78,1,003651.3,-282200
2202,9.34,4295,97.72,1,003651.6,+235928
2204,11.89,5915,,,,
2206,9.80,3251,,,,
2210,10.26,9219,,,,
2211,12.20,14667,,,,
2213,12.37,21658,,,,
2215,12.05,3389,47.86,1,003706.2,-463838
2220,12.37,4895,,,,
2223,10.33,4020,,,,
2224,11.76,15714,179.47,1,003742.4,-141047
2228,11.94,2764,46.34,1,003713.6,-223513
2229,11.76,8206,,,,
2231,,,74.13,1,003721.2,+290857
2232,9.33,3589,54.20,1,003721.5,-195603
2238,12.38,15657,237.68,1,003725.3,-014112
2241,10.54,3535,,,,
2243,11.01,10174,,,,
2246,11.11,4240,,,,
2250,10.87,6902,,,,
2253,10.33,5658,84.33,1,003746.3,-175058
2258,11.06,6748,,,,
2260,,,60.81,1,003757.8,+050852
2261,,,74.82,1,003754.1,+324121
2265,12.15,3235,,,,
2268,9.78,4935,60.81,1,003757.7,+083806
2269,11.62,4951,,,,
2272,,,131.22,1,003802.6,-533747
2277,10.99,8077,,,,
2279,9.79,4916,,,,
2280,12.16,10651,,,,
2288,,,38.73,1,003823.7,+150222
2291,9.92,4317,,,,
2294,,,72.11,1,003828.2,+293730
2296,12.44,14124,,,,
2298,9.84,5081,,,,
2299,12.35,15842,,,,
2300,12.22,16062,,,,
2302,,,82.04,1,003831.8,+301722
2303,11.61,3369,,,,
2308,10.54,3468,,,,
2311,11.61,16140,,,,
2312,,,125.31,1,003839.7,+172411
2316,,,87.10,1,003848.0,+254303
2324,10.58,11831,133.66,1,003854.7,+070345
2327,11.15,4284,,,,
2329,,,0.63,3,003857.7,+482014
2331,9.76,5745,,,,
2332,,,82.04,1,003900.2,-090052
2333,11.91,10567,,,,
2338,10.52,3621,,,,
2342,,,42.07,1,003905.1,+060115
2343,12.27,15316,,,,
2344,11.05,12133,133.66,1,003904.6,+072933
2349,11.14,1127,,,,
2350,11.53,11045,,,,
2351,12.09,10635,,,,
2352,9.43,3867,,,,
2353,11.76,11337,,,,
2355,11.91,13829,,,,
2356,10.92,3821,,,,
2357,10.19,3895,,,,
2358,10.71,6672,96.83,1,003918.3,-272057
2359,9.37,3996,,,,
2362,9.36,4843,,,,
2363,12.25,6819,,,,
2369,11.74,3588,,,,
2371,9.94,4918,,,,
2372,10.25,10805,144.54,1,003926.3,+064402
2376,10.99,5069,,,,
2377,10.66,4347,,,,
2378,10.65,4108,,,,
2380,10.63,3634,,,,
2382,10.61,4258,,,,
2383,,,90.78,1,003933.5,-354811
2387,9.93,4805,69.18,1,003934.8,+025314
2388,10.68,4056,,,,
2390,10.97,4089,69.50,1,003937.7,+085755
2391,10.54,4592,,,,
2393,11.16,4877,,,,
2395,11.45,3633,,,,
2397,9.90,5048,,,,
2400,12.08,8501,,,,
2402,11.23,8819,,,,
2404,10.80,11653,169.04,1,003956.0,+065055
2405,12.36,16353,,,,
2411,12.27,14761,,,,
2412,12.37,3567,,,,
2413,12.39,7181,,,,
2414,12.28,7792,,,,
2417,10.41,8086,124.74,1,004013.3,-560911
2424,11.74,7786,,,,
2425,12.38,3232,,,,
2426,11.12,12458,,,,
2429,,,0.81,2,004022.1,+414107
2430,,,150.66,1,004028.1,+064311
2431,11.09,11685,133.66,1,004030.6,+065502
2433,10.54,3490,,,,
2437,,,19.32,2,004035.0,-135222
2438,,,104.71,1,004035.6,-252631
2441,11.21,4993,,,,
2443,10.60,6695,,,,
2444,11.85,13736,244.34,1,004041.9,-813359
2445,,,18.97,2,004044.1,-632626
2450,10.67,9826,,,,
2451,10.03,8003,96.83,2,004048.9,-561251
2454,11.31,8172,66.68,1,004055.1,-134631
2455,11.99,18847,,,,
2456,12.21,13100,,,,
2457,12.26,15999,,,,
2458,10.98,4335,76.56,1,004103.7,+314358
2459,12.39,15982,,,,
2460,12.01,5133,,,,
2463,12.18,16096,171.40,1,004105.9,-152541
2466,10.75,6898,,,,
2467,12.27,5653,,,,
2469,10.11,5165,,,,
2472,10.67,4965,,,,
2474,12.15,14247,,,,
2478,11.04,1191,,,,
2479,9.34,4210,59.43,2,004127.9,+252958
2480,11.92,16557,,,,
2482,9.36,3635,57.02,1,004133.9,-100117
2490,10.52,5756,69.82,1,004139.8,-421916
2492,,,25.47,1,004145.5,-165142
2495,11.16,12600,,,,
2496,11.68,10487,,,,
2498,12.17,16836,,,,
2501,10.40,16314,201.37,2,004150.4,-091810
2502,12.32,5148,,,,
2503,11.28,5212,59.70,1,004148.5,-014419
2504,,,80.17,1,004151.7,+325928
2510,11.75,9333,,,,
2513,11.78,7064,,,,
2515,11.85,15584,175.39,1,004153.3,-104958
2517,10.37,10364,160.69,1,004204.6,+364817
2520,,,52.72,1,004207.8,+332422
2525,11.02,5562,76.21,1,004214.8,-112817
2526,12.48,1244,26.42,2,004214.7,-180942
2527,10.53,5014,97.72,1,004215.9,+005043
2528,11.57,8489,128.82,1,004216.6,-503033
2536,10.55,4539,,,,
2538,11.23,17046,,,,
2539,11.58,6465,,,,
2541,11.37,7487,,,,
2544,,,7.18,1,004232.3,+403418
2547,9.25,5077,64.57,1,004236.8,-013144
2550,10.13,5383,,,,
2553,,,69.50,1,004239.7,+295231
2554,11.83,17433,,,,
2555,,,0.78,2,004241.8,+405154
2557,,,0.77,4,004244.4,+411608
2558,11.43,5497,101.86,1,004247.6,-034945
2559,10.00,6494,84.33,1,004245.7,-233340
2560,10.47,4773,,,,
2561,11.19,18158,,,,
2563,10.87,6997,,,,
2564,11.92,10692,222.84,1,004308.4,-110740
2569,10.23,6471,,,,
2571,,,76.91,1,004253.5,+333121
2573,12.10,5333,,,,
2577,10.96,7037,,,,
2578,,,4.92,1,004303.6,-221451
2580,12.41,10826,149.97,1,004324.1,-111522
2584,12.11,10297,,,,
2586,11.30,5234,,,,
2592,11.11,7792,,,,
2593,11.16,4969,,,,
2594,11.58,11708,,,,
2595,10.14,8425,,,,
2596,11.07,5301,,,,
2597,10.39,3829,56.49,1,004327.8,-000730
2598,10.08,5510,45.29,1,004328.5,-062055
2600,9.63,4112,,,,
2601,9.94,5462,68.23,1,004333.4,-040704
2603,10.21,5709,,,,
2604,9.82,5115,,,,
2605,11.14,6908,,,,
2611,,,85.11,1,004344.9,-242517
2614,10.47,4462,,,,
2615,,,53.21,1,004351.9,+004806
2616,12.13,6479,85.11,1,004354.3,-041443
2618,11.35,5431,,,,
2619,10.84,10527,87.10,1,004359.7,-763527
2620,12.14,8275,,,,
2623,11.08,5273,,,,
2624,11.96,10837,195.88,1,004359.6,-111821
2629,11.38,6351,,,,
2631,11.98,15962,185.35,1,004420.0,-065938
2632,11.82,12659,,,,
2634,12.04,8872,,,,
2637,11.91,6521,,,,
2639,11.25,4073,,,,
2640,12.06,15101,207.97,1,004432.1,-485052
2641,10.95,11471,,,,
2642,10.71,3455,,,,
2644,12.33,13924,,,,
2647,11.89,5704,,,,
2648,11.19,8915,,,,
2651,10.03,8208,,,,
2652,11.01,10374,,,,
2653,10.25,11897,,,,
2660,,,63.39,1,004509.1,-093754
2663,12.42,6858,205.12,1,004521.3,-253712
2665,12.06,8197,159.96,1,004524.0,-123210
2666,,,0.75,2,004540.0,+380219
2667,12.17,6487,,,,
2671,12.34,17770,,,,
2675,11.31,633,,,,
2679,11.91,5424,74.13,1,004551.6,-311159
2684,10.13,5632,,,,
2687,10.57,4471,,,,
2688,11.89,5730,,,,
2691,9.77,3747,,,,
2692,,,95.06,1,004606.2,-423147
2693,11.44,7506,,,,
2694,12.15,15817,,,,
2698,10.65,5613,,,,
2699,,,36.31,2,004613.2,+192923
2701,12.44,10276,168.27,1,004616.9,-241645
2703,11.50,5702,,,,
2704,11.07,5027,61.38,1,004619.4,+511302
2710,10.36,1361,,,,
2712,10.78,4680,,,,
2717,11.11,5941,,,,
2720,10.47,10953,,,,
2726,,,157.76,1,004638.7,+361952
2731,12.07,17803,,,,
2734,,,63.68,1,004643.0,-354752
2735,10.61,5473,82.04,1,004648.9,-063152
2739,,,77.27,1,004650.3,+262833
2743,10.94,4550,62.23,1,004656.0,+324031
2744,11.93,6109,92.04,1,004656.6,-215051
2746,11.64,6774,,,,
2747,,,59.43,2,004708.3,+302027
2749,10.96,8105,,,,
2750,11.26,8140,,,,
2757,11.29,16056,,,,
2758,,,3.52,3,004708.6,-204537
2759,11.60,6777,115.35,1,004706.8,-024353
2760,11.17,6940,,,,
2762,11.27,5042,,,,
2763,10.70,16514,,,,
2764,11.09,7016,,,,
2765,11.11,4894,47.21,1,004716.0,+075435
2766,10.57,4445,,,,
2767,10.66,4160,,,,
2768,,,173.78,1,004719.4,+144212
2769,,,143.22,1,004730.3,+154148
2776,11.26,14619,,,,
2777,12.36,16855,,,,
2778,9.23,1262,,,,
2780,12.09,15103,,,,
2781,10.91,4921,,,,
2782,,,76.21,1,004731.6,+313923
2784,,,93.33,1,004735.1,+140918
2786,,,85.11,1,004725.5,-095110
2788,11.60,5181,,,,
2789,,,3.56,3,004733.1,-251718
2791,11.49,5812,,,,
2799,11.44,6079,,,,
2800,10.41,5402,71.12,3,004746.4,-095006
2802,10.08,1310,,,,
2805,,,16.98,2,004747.5,-095358
2806,10.01,4223,56.23,1,004754.0,+193548
2811,11.83,17539,,,,
2812,11.03,3779,,,,
2817,11.06,10184,,,,
2818,9.71,4939,67.30,1,004801.5,+081749
2819,9.19,4671,66.07,1,004801.4,+273728
2820,9.43,3743,45.08,1,004803.3,-024631
2822,10.28,5216,57.54,1,004805.1,-013357
2824,11.10,6726,,,,
2831,10.59,4751,,,,
2845,12.02,6004,,,,
2852,11.63,16697,,,,
2855,10.35,4198,,,,
2856,11.83,8407,,,,
2861,11.45,3679,,,,
2865,,,72.78,2,004902.1,+281304
2870,12.13,8932,,,,
2871,12.46,7018,,,,
2876,11.32,8911,,,,
2881,,,3.48,2,004921.1,-180431
2884,12.29,18710,,,,
2886,11.14,15751,,,,
2887,11.71,8735,,,,
2889,11.18,4944,80.91,1,004935.7,+010655
2894,10.38,7134,,,,
2895,12.02,13823,,,,
2899,,,69.18,2,004945.8,+313604
2901,8.73,4353,,,,
2902,,,3.39,2,004949.7,-210046
2903,11.70,17628,,,,
2905,,,69.82,1,004952.2,+005746
2909,10.41,6976,,,,
2913,12.22,8306,,,,
2914,,,54.20,1,004958.3,+214306
2917,10.99,15684,164.44,1,005000.9,-144057
2918,11.25,13270,,,,
2919,11.81,1593,,,,
2920,12.38,3530,,,,
2922,,,76.21,1,005002.8,+075506
2924,11.66,6077,,,,
2926,10.91,7510,,,,
2927,10.56,5165,,,,
2928,,,73.11,2,005009.8,+314352
2929,12.21,15937,,,,
2932,11.31,6828,112.72,1,005020.8,-411436
2933,,,3.60,2,005024.6,-195423
2936,9.89,5373,76.91,1,005027.5,-055130
2938,9.74,3494,39.99,1,005032.5,-083906
2942,,,134.28,1,005034.2,-430350
2948,10.64,7594,94.62,1,005041.9,-521312
2949,8.79,3614,,,,
2951,10.67,11434,,,,
2955,12.41,5575,,,,
2958,11.35,7767,,,,
2959,9.97,4346,58.88,1,005048.4,-065308
2963,,,69.82,1,005050.4,-262924
2964,,,40.93,1,005050.7,+284203
2967,11.21,14840,,,,
2970,12.47,18466,257.04,1,005053.6,-215358
2971,11.48,6858,102.80,1,005052.7,-552925
2976,11.73,4833,,,,
2980,9.34,1340,21.28,3,005101.9,-070325
2985,10.65,9449,,,,
2995,10.61,3912,,,,
3000,12.43,21957,,,,
3015,11.62,5194,,,,
3018,11.15,6781,,,,
3019,11.07,10465,,,,
3020,,,40.93,1,005134.5,+294259
3023,10.28,7737,,,,
3025,10.38,4889,,,,
3028,12.29,11101,,,,
3041,11.11,7152,,,,
3042,11.90,5991,,,,
3047,12.13,7066,,,,
3051,7.83,381,,,,
3054,11.74,13748,,,,
3055,10.05,39840,,,,
3057,10.20,5242,,,,
3058,10.80,5057,,,,
3059,11.98,13884,,,,
3062,,,30.48,1,005217.2,-035801
3063,12.40,17093,211.84,1,005218.2,-214950
3069,10.65,13278,,,,
3070,11.85,6560,,,,
3072,,,69.82,1,005227.9,+143105
3076,10.73,9845,155.60,1,005230.3,+242103
3081,,,71.12,2,005235.1,+291226
3085,,,0.06,3,005238.0,-724800
3089,,,23.33,2,005242.3,-311220
3090,10.33,6363,,,,
3093,12.47,9389,,,,
3094,9.68,4698,,,,
3096,11.30,15510,,,,
3105,,,218.78,1,005255.9,-215029
3108,,,56.75,1,005258.3,+290156
3113,11.93,15315,,,,
3117,11.77,7935,,,,
3120,,,90.78,1,005309.3,+215536
3124,11.26,10912,,,,
3127,11.59,14183,,,,
3129,,,152.05,1,005318.8,-264752
3130,11.38,15631,,,,
3131,11.38,11216,,,,
3133,10.48,4195,53.21,2,005326.7,+291612
3136,11.50,8898,,,,
3138,,,257.04,1,005328.7,-215440
3140,10.93,5439,,,,
3141,11.03,11071,,,,
3142,11.29,10513,101.86,1,005330.3,-130646
3144,12.20,4916,67.30,1,005332.1,-580625
3145,10.64,5206,,,,
3146,11.29,8528,,,,
3147,,,84.72,1,005332.4,+025522
3153,12.40,10989,143.22,1,005336.4,-291429
3154,11.60,6706,,,,
3155,11.11,5157,,,,
3158,12.08,12150,,,,
3159,11.72,5267,63.39,1,005343.4,-270259
3161,11.85,8128,,,,
3162,12.12,7189,100.93,1,005346.9,-451116
3165,,,76.56,1,005349.0,-331742
3166,12.50,5333,,,,
3168,,,87.50,1,005352.5,-465821
3169,10.72,9391,,,,
3171,11.12,4584,,,,
3174,10.93,5469,,,,
3181,,,199.53,1,005359.8,-214037
3183,10.31,4566,42.07,1,005403.9,+730505
3184,,,82.41,2,005404.9,+302044
3187,11.34,16858,,,,
3190,11.22,10516,167.49,1,005413.8,-622719
3194,12.04,12789,147.23,1,005412.2,-012542
3195,11.47,5399,,,,
3197,12.33,9411,,,,
3201,11.14,9416,,,,
3202,12.21,11679,162.93,1,005423.8,-655141
3203,11.09,6299,,,,
3204,11.62,13239,,,,
3209,11.40,7071,,,,
3210,11.56,9614,,,,
3211,12.28,7135,103.75,1,005433.0,-511531
3213,11.42,5553,,,,
3214,11.43,13329,116.95,1,005436.7,-355106
3217,10.66,4265,,,,
3218,,,72.78,2,005441.9,+364553
3222,,,74.82,2,005447.0,+312156
3226,10.70,10622,,,,
3227,10.56,6492,,,,
3228,12.17,16567,,,,
3234,11.17,11218,,,,
3235,10.46,4317,96.83,2,005450.3,+291447
3238,,,1.99,4,005453.5,-374104
3239,,,67.92,1,005449.2,+522848
3240,11.89,9435,,,,
3242,10.91,9304,,,,
3243,12.31,14900,230.14,1,005458.9,-072059
3244,10.80,5313,,,,
3246,11.63,12536,,,,
3247,,,32.66,1,005459.0,+304819
3248,10.87,17009,,,,
3250,11.85,1445,30.90,1,005502.4,-071959
3252,10.48,6077,85.51,1,005502.9,-190019
3253,12.05,11440,,,,
3254,10.64,12048,,,,
3256,12.40,17848,,,,
3257,11.12,5980,,,,
3260,9.39,5148,55.21,2,005507.6,+313231
3263,11.40,6816,,,,
3264,11.78,17394,,,,
3266,11.67,13344,,,,
3267,,,163.68,1,005516.9,-005505
3271,10.70,5777,,,,
3272,10.94,13231,152.76,1,005518.8,-011636
3273,12.39,13975,174.58,1,005513.6,-010433
3274,,,51.05,2,005521.6,+314036
3277,11.28,14789,,,,
3280,12.47,11566,,,,
3281,11.57,16324,,,,
3285,,,87.10,2,005532.7,+302353
3287,10.79,4269,,,,
3292,10.88,4532,,,,
3295,11.23,16327,,,,
3296,11.99,10953,,,,
3299,12.09,17198,,,,
3302,11.00,10099,,,,
3303,11.56,9884,,,,
3305,11.41,11741,,,,
3306,10.83,16031,,,,
3312,11.00,13188,,,,
3315,12.14,15537,,,,
3323,12.12,11148,149.97,1,005603.9,-140338
3324,10.90,16398,,,,
3326,9.86,4670,,,,
3329,12.34,14714,,,,
3330,11.09,8100,,,,
3332,,,68.87,2,005609.3,+310426
3333,11.56,11911,,,,
3335,11.64,6029,,,,
3338,11.35,8278,119.12,1,005615.0,-470352
3340,11.78,12234,213.80,1,005610.7,-010701
3342,10.28,13061,152.05,1,005616.1,-011519
3343,9.70,7843,84.72,1,005615.9,-524658
3344,11.99,12730,,,,
3345,11.78,6366,,,,
3347,12.16,14130,,,,
3350,11.91,12532,,,,
3353,11.99,5297,,,,
3357,11.11,14606,,,,
3359,,,193.20,1,005623.6,-005913
3364,11.94,12517,,,,
3365,10.72,11128,150.66,1,005625.6,-011544
3367,9.84,3631,43.05,1,005632.6,-014619
3372,12.06,14706,,,,
3374,9.57,7587,,,,
3377,9.64,5283,,,,
3378,11.05,13623,,,,
3379,11.92,7168,,,,
3386,11.07,10738,,,,
3387,9.91,7272,86.30,1,005647.3,-530551
3391,11.57,10284,,,,
3392,11.79,11897,,,,
3395,10.83,5439,,,,
3397,,,194.09,1,005701.4,+071945
3398,11.20,6736,,,,
3399,10.25,7168,,,,
3400,12.28,14108,154.17,1,005656.9,-011242
3401,12.03,7762,85.11,1,005659.0,-452442
3403,11.30,9292,,,,
3405,10.44,12914,,,,
3406,12.29,39188,,,,
3408,10.77,10897,,,,
3409,,,248.89,1,005705.2,+145430
3410,11.40,15597,,,,
3412,10.63,6914,63.39,1,005710.0,-434338
3413,12.31,16717,,,,
3414,12.19,12730,,,,
3416,10.07,3178,,,,
3417,,,152.76,1,005717.0,-004010
3418,10.88,9183,,,,
3425,12.09,33543,,,,
3426,11.85,9183,,,,
3427,11.89,9153,,,,
3429,12.11,2391,,,,
3430,11.16,9014,,,,
3434,9.85,4757,,,,
3435,11.98,5351,48.08,1,005735.1,-050009
3436,10.42,7278,69.18,1,005737.6,-485410
3440,,,57.54,1,005741.9,+150404
3442,10.22,5159,,,,
3443,11.63,4521,,,,
3444,10.95,13154,169.82,1,005734.9,-012331
3447,11.04,11390,,,,
3449,10.97,5051,,,,
3453,10.16,5270,,,,
3454,11.69,5130,103.75,1,005747.9,-050643
3455,8.08,4648,,,,
3456,10.30,4700,,,,
3457,12.45,12746,,,,
3459,11.17,7094,,,,
3461,11.66,5267,,,,
3462,10.46,4990,80.91,1,005755.4,-050749
3465,11.02,5000,,,,
3466,,,61.66,2,005801.2,+304218
3467,10.39,4859,86.30,3,005801.6,-050416
3471,11.18,12665,,,,
3475,9.87,4237,44.46,1,005810.9,-081301
3477,11.15,14977,,,,
3478,11.64,12712,132.43,1,005820.6,-015613
3479,11.52,22190,,,,
3481,10.96,5208,88.72,1,005819.8,-152331
3482,10.47,13998,136.14,1,005822.6,+265158
3484,11.69,10201,138.04,1,005822.3,-363936
3486,9.67,4009,,,,
3487,10.92,6561,,,,
3503,,,120.23,1,005835.2,+450018
3504,10.32,5269,,,,
3506,10.67,7395,,,,
3507,10.99,11260,,,,
3508,,,175.39,1,005844.9,+124454
3510,11.13,5154,,,,
3511,10.52,4893,,,,
3513,10.19,11732,107.15,1,005851.1,+125822
3514,11.05,8948,104.23,1,005849.8,-350658
3516,11.59,17161,,,,
3517,11.26,10643,163.68,1,005856.1,-165207
3519,10.61,15883,195.88,1,005851.3,-162809
3523,11.80,5265,,,,
3525,12.33,16868,,,,
3526,10.39,1675,28.97,2,005858.0,-184433
3527,10.53,4739,,,,
3537,11.98,16986,,,,
3543,,,40.74,1,005918.3,-203444
3544,11.34,5467,,,,
3547,10.42,5355,58.61,1,005923.7,-044812
3549,9.67,3232,,,,
3550,,,135.52,1,005924.4,+270333
3553,11.25,5153,82.04,1,005926.2,-044740
3554,,,44.46,1,005929.4,-361111
3557,12.24,5449,,,,
3559,,,34.83,1,005936.2,+353337
3560,11.52,6463,89.13,1,005937.4,-101957
3561,,,107.15,1,005936.0,+125910
3562,11.61,27146,,,,
3563,10.68,5188,79.80,1,005940.1,+151951
3567,9.77,6721,77.98,1,005946.6,-402001
3569,,,192.31,1,005948.7,+144324
3571,11.22,7728,,,,
3572,,,19.23,2,005950.1,-073441
3574,10.83,14108,,,,
3576,12.25,8437,,,,
3577,11.27,15571,215.77,1,005959.1,-135944
3578,11.16,7612,,,,
3579,10.92,6918,,,,
3581,11.77,19833,,,,
3582,10.79,16402,,,,
3584,10.92,5010,90.36,1,010004.1,-110458
3585,11.83,5788,,,,
3586,11.41,6033,124.17,1,010009.2,-183736
3589,,,0.08,2,010009.3,-334232
3590,11.19,15996,,,,
3595,11.80,9403,,,,
3597,11.83,16011,,,,
3603,10.33,2460,38.55,2,010028.1,+475942
3606,11.05,4520,83.95,2,010032.5,+304749
3607,11.78,14278,,,,
3610,11.02,5769,,,,
3611,9.38,4479,78.34,2,010036.5,+304007
3613,10.18,5479,,,,
3615,11.12,6449,,,,
3620,10.39,4236,,,,
3621,12.09,18092,,,,
3624,12.36,18753,,,,
3628,11.58,6551,,,,
3629,12.21,4510,,,,
3630,11.95,4948,,,,
3631,10.64,5400,95.94,1,010049.9,-064621
3632,11.39,8678,,,,
3635,9.73,2364,31.05,2,010055.4,+474055
3636,,,196.79,1,010100.6,+132806
3639,,,85.90,1,010052.0,+192833
3642,11.89,11534,,,,
3643,,,91.62,1,010102.6,+094329
3645,11.65,8546,95.94,1,010106.2,-043619
3651,10.83,6690,,,,
3652,10.86,6527,,,,
3662,11.02,4286,,,,
3664,,,87.90,2,010121.2,+313027
3665,10.25,4911,,,,
3666,11.11,4713,,,,
3667,,,26.06,2,010125.1,+073733
3672,,,116.95,1,010135.0,-594429
3673,11.91,6026,,,,
3675,10.88,7297,,,,
3680,10.93,4774,,,,
3681,10.01,5295,66.07,1,010142.6,-153404
3682,11.41,19447,,,,
3683,10.22,7404,,,,
3686,10.82,6372,,,,
3687,9.37,5450,,,,
3688,,,59.70,1,010146.1,+030454
3690,10.75,5753,,,,
3692,11.59,16015,,,,
3693,10.18,3853,,,,
3695,11.54,16598,,,,
3697,10.81,14129,136.14,1,010205.4,+265707
3700,10.84,3936,84.33,1,010210.2,+322706
3701,9.63,5072,,,,
3702,11.57,16939,,,,
3703,11.81,4491,,,,
3705,11.15,16613,,,,
3707,12.23,16481,,,,
3714,10.84,3751,54.95,1,010224.5,-015731
3719,11.15,12536,,,,
3724,12.35,16630,,,,
3726,11.40,5963,,,,
3727,10.94,16787,,,,
3729,12.31,18297,,,,
3735,11.28,5422,78.34,1,010248.3,-062443
3738,,,80.17,1,010248.2,-012825
3739,12.28,6286,,,,
3741,10.24,5064,,,,
3743,9.68,2204,30.90,2,010251.4,-653635
3748,12.27,26509,,,,
3753,11.84,6942,,,,
3754,9.82,5504,,,,
3756,11.65,4935,,,,
3757,11.84,2272,,,,
3758,11.74,12389,142.56,1,010312.9,-205944
3760,,,92.47,1,010314.4,-430040
3763,10.49,4346,,,,
3764,,,143.88,1,010318.1,+140216
3768,8.56,2028,,,,
3769,10.92,6791,,,,
3773,10.64,4998,59.98,3,010326.4,+321414
3774,11.89,4996,,,,
3776,11.40,6565,,,,
3784,,,105.68,1,010350.4,+220139
3788,11.38,8177,,,,
3791,10.79,5328,,,,
3792,,,0.65,3,010354.8,+215323
3795,11.90,14416,,,,
3797,12.02,6389,,,,
3799,12.22,17382,,,,
3801,11.93,14230,184.50,1,010402.6,-113832
3805,11.79,14792,210.86,1,010356.3,-021544
3808,11.20,20271,,,,
3812,10.67,7501,100.93,1,010407.1,-510759
3814,12.12,8587,,,,
3815,12.36,5047,,,,
3816,11.85,15807,,,,
3817,10.72,5019,,,,
3818,10.76,7801,,,,
3820,11.21,7797,,,,
3822,11.26,9848,108.64,1,010418.7,-350717
3824,11.13,7681,,,,
3825,10.68,5050,,,,
3826,11.32,8677,,,,
3827,11.31,5935,,,,
3828,12.20,7503,83.95,1,010429.7,-512737
3833,10.08,4929,112.20,1,010440.9,-004810
3844,,,0.74,4,010447.8,+020703
3845,10.64,6470,,,,
3846,10.05,5379,,,,
3847,10.64,8774,105.68,1,010459.9,-460433
3851,11.39,8582,,,,
3853,9.99,806,11.64,2,010504.9,-061244
3855,,,31.77,1,010508.6,-061645
3857,11.10,8815,,,,
3858,11.84,5460,,,,
3859,12.50,13576,,,,
3860,11.34,6642,,,,
3861,11.92,4905,,,,
3863,,,107.65,1,010516.9,-425452
3864,10.83,7574,,,,
3865,11.50,13775,112.72,1,010518.9,-112130
3866,,,50.82,2,010519.0,+314055
3868,11.02,6387,,,,
3870,11.98,16873,,,,
3872,11.70,14386,,,,
3873,11.08,8859,,,,
3878,11.96,12058,,,,
3881,,,57.28,1,010534.2,+322546
3884,12.49,28598,,,,
3886,12.30,14383,,,,
3888,11.62,5661,120.78,1,010538.0,-470418
3889,,,166.72,1,010542.1,+144403
3892,11.76,13946,127.06,1,010548.4,-482354
3894,12.00,7386,,,,
3899,,,44.26,1,010556.0,+322443
3902,11.35,15903,,,,
3903,,,92.04,2,010609.6,+312420
3907,10.65,9276,,,,
3909,,,107.65,1,010614.7,-463003
3911,11.13,10910,120.78,1,010615.8,-163234
3912,,,218.78,1,010610.1,+011359
